protocol,scenario,server_host,server_port,session_id,message_count,payload_size,window_size,attack_type,repeat_id,server_reachable,sent_count,accepted_count,rejected_count,timeout_count,recovery_success,attack_detected,detection_result,detection_reason,avg_rtt_ms,min_rtt_ms,max_rtt_ms,p50_rtt_ms,p95_rtt_ms,elapsed_ms,throughput_msg_per_s,final_client_mem,final_server_mem,final_client_mem_short,final_server_mem_short,memory_match,memory_verified,server_last_seq,seq_consistent
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-drop-m100-p128-w10-r1-1781487363908196,100,128,10,drop,1,True,59,49,1,0,False,True,detected,"seq gap detected: expected 50, got 51",0.246,0.2167,0.3071,0.2316,0.3,1.7071,28704.04,a68b1ed8c03bd0486175ba96f887aaff085547b0a4aa9a943da6db375e5a5f77,a68b1ed8c03bd0486175ba96f887aaff085547b0a4aa9a943da6db375e5a5f77,a68b1ed8c03bd048,a68b1ed8c03bd048,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-drop-m100-p512-w1-r1-1781487363910223,100,512,1,drop,1,True,50,49,1,0,False,True,detected,"seq gap detected: expected 50, got 51",0.0744,0.0498,0.1841,0.0646,0.1109,4.581,10696.41,01e143fe4b7581040fa8e13d0c4c961239f5f1cf2703945c5680ba291bd00d16,01e143fe4b7581040fa8e13d0c4c961239f5f1cf2703945c5680ba291bd00d16,01e143fe4b758104,01e143fe4b758104,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-drop-m100-p512-w5-r1-1781487363915189,100,512,5,drop,1,True,54,49,1,0,False,True,detected,"seq gap detected: expected 50, got 51",0.1455,0.1171,0.1998,0.1403,0.1869,2.0721,23647.55,ad7bc1caf5aa2200578109ae1784ef8f7330af54fb2d983f4298d1e3488cde7d,ad7bc1caf5aa2200578109ae1784ef8f7330af54fb2d983f4298d1e3488cde7d,ad7bc1caf5aa2200,ad7bc1caf5aa2200,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-drop-m100-p512-w10-r1-1781487363917643,100,512,10,drop,1,True,59,49,1,0,False,True,detected,"seq gap detected: expected 50, got 51",0.2717,0.2429,0.2902,0.2719,0.2856,1.8408,26618.43,fa5adbe4cf509050f00e6fbe69acc3ccee68e87e398a3666e08d8e3ce5a5788a,fa5adbe4cf509050f00e6fbe69acc3ccee68e87e398a3666e08d8e3ce5a5788a,fa5adbe4cf509050,fa5adbe4cf509050,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-drop-m500-p128-w1-r1-1781487363919793,500,128,1,drop,1,True,50,49,1,0,False,True,detected,"seq gap detected: expected 50, got 51",0.0741,0.0479,0.191,0.0656,0.1205,4.504,10879.3,5deeb8531ac4c74bbcda84613c2d44cd84800a330e12be7c6204ecc846f889da,5deeb8531ac4c74bbcda84613c2d44cd84800a330e12be7c6204ecc846f889da,5deeb8531ac4c74b,5deeb8531ac4c74b,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-drop-m500-p128-w5-r1-1781487363924615,500,128,5,drop,1,True,54,49,1,0,False,True,detected,"seq gap detected: expected 50, got 51",0.1255,0.097,0.222,0.1174,0.1995,1.5812,30989.28,cfe7612b000ba16bd85222142473dfbb03947880fdb06f2eb18f7db50e913698,cfe7612b000ba16bd85222142473dfbb03947880fdb06f2eb18f7db50e913698,cfe7612b000ba16b,cfe7612b000ba16b,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-drop-m500-p128-w10-r1-1781487363926524,500,128,10,drop,1,True,59,49,1,0,False,True,detected,"seq gap detected: expected 50, got 51",0.2279,0.201,0.2539,0.224,0.2497,1.5192,32253.75,0e27b48670d600e5fe232f871084d47ef155dfcda1ad59ee5fa54c3371cdc4d2,0e27b48670d600e5fe232f871084d47ef155dfcda1ad59ee5fa54c3371cdc4d2,0e27b48670d600e5,0e27b48670d600e5,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-drop-m500-p512-w1-r1-1781487363928328,500,512,1,drop,1,True,50,49,1,0,False,True,detected,"seq gap detected: expected 50, got 51",0.0547,0.0441,0.1111,0.0491,0.0709,3.5231,13908.16,40f898dac1d5ef6365aefb0b8e281d2c3aa2fd49be06f25bfec4dbbe80d80623,40f898dac1d5ef6365aefb0b8e281d2c3aa2fd49be06f25bfec4dbbe80d80623,40f898dac1d5ef63,40f898dac1d5ef63,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-drop-m500-p512-w5-r1-1781487363932069,500,512,5,drop,1,True,54,49,1,0,False,True,detected,"seq gap detected: expected 50, got 51",0.1404,0.1259,0.1738,0.1364,0.1684,1.7481,28030.67,01d49133217b43a5f1af1d143d7abfbb89eceed94262ee5700cd40901b9180db,01d49133217b43a5f1af1d143d7abfbb89eceed94262ee5700cd40901b9180db,01d49133217b43a5,01d49133217b43a5,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-drop-m500-p512-w10-r1-1781487363934069,500,512,10,drop,1,True,59,49,1,0,False,True,detected,"seq gap detected: expected 50, got 51",0.435,0.237,1.163,0.2651,1.1358,2.6147,18739.94,502224ef151178e8f41d3284d5d72c9baf12d288f4485a31c2c62374e2891f96,502224ef151178e8f41d3284d5d72c9baf12d288f4485a31c2c62374e2891f96,502224ef151178e8,502224ef151178e8,True,False,49,True
