scenario,protocol,loss_rate,reorder_rate,delay_ms,message_count,payload_size,repeat_id,delivery_success_rate,recovery_success_rate,memory_match_rate,attack_detection_rate,avg_recovery_latency_ms,extra_messages,extra_bytes,throughput_score,recovery_mode
controlled_weak_network_simulation,seq_mac,0.0,0.01,100,1000,128,2,0.9945,0.8696,0.0,0.904,102.2,11,1088,0.931,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,100,1000,128,3,0.9925,0.8696,0.0,0.904,102.2,11,1088,0.931,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,100,1000,512,1,0.9965,0.8696,0.0,0.904,102.2,11,1088,0.931,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,100,1000,512,2,0.9945,0.8696,0.0,0.904,102.2,11,1088,0.931,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,100,1000,512,3,0.9925,0.8696,0.0,0.904,102.2,11,1088,0.931,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,200,100,128,1,0.9965,0.7736,0.0,0.904,202.02,2,224,0.871,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,200,100,128,2,0.9945,0.7736,0.0,0.904,202.02,2,224,0.871,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,200,100,128,3,0.9925,0.7736,0.0,0.904,202.02,2,224,0.871,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,200,100,512,1,0.9965,0.7736,0.0,0.904,202.02,2,224,0.871,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,200,100,512,2,0.9945,0.7736,0.0,0.904,202.02,2,224,0.871,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,200,100,512,3,0.9925,0.7736,0.0,0.904,202.02,2,224,0.871,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,200,500,128,1,0.9965,0.7736,0.0,0.904,202.1,6,608,0.871,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,200,500,128,2,0.9945,0.7736,0.0,0.904,202.1,6,608,0.871,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,200,500,128,3,0.9925,0.7736,0.0,0.904,202.1,6,608,0.871,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,200,500,512,1,0.9965,0.7736,0.0,0.904,202.1,6,608,0.871,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,200,500,512,2,0.9945,0.7736,0.0,0.904,202.1,6,608,0.871,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,200,500,512,3,0.9925,0.7736,0.0,0.904,202.1,6,608,0.871,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,200,1000,128,1,0.9965,0.7736,0.0,0.904,202.2,11,1088,0.871,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,200,1000,128,2,0.9945,0.7736,0.0,0.904,202.2,11,1088,0.871,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,200,1000,128,3,0.9925,0.7736,0.0,0.904,202.2,11,1088,0.871,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,200,1000,512,1,0.9965,0.7736,0.0,0.904,202.2,11,1088,0.871,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,200,1000,512,2,0.9945,0.7736,0.0,0.904,202.2,11,1088,0.871,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.01,200,1000,512,3,0.9925,0.7736,0.0,0.904,202.2,11,1088,0.871,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,0,100,128,1,0.9895,0.9368,0.0,0.912,2.06,4,416,0.973,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,0,100,128,2,0.9875,0.9368,0.0,0.912,2.06,4,416,0.973,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,0,100,128,3,0.9855,0.9368,0.0,0.912,2.06,4,416,0.973,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,0,100,512,1,0.9895,0.9368,0.0,0.912,2.06,4,416,0.973,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,0,100,512,2,0.9875,0.9368,0.0,0.912,2.06,4,416,0.973,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,0,100,512,3,0.9855,0.9368,0.0,0.912,2.06,4,416,0.973,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,0,500,128,1,0.9895,0.9368,0.0,0.912,2.3,16,1568,0.973,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,0,500,128,2,0.9875,0.9368,0.0,0.912,2.3,16,1568,0.973,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,0,500,128,3,0.9855,0.9368,0.0,0.912,2.3,16,1568,0.973,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,0,500,512,1,0.9895,0.9368,0.0,0.912,2.3,16,1568,0.973,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,0,500,512,2,0.9875,0.9368,0.0,0.912,2.3,16,1568,0.973,seq_resync
controlled_weak_network_simulation,seq_mac,0.0,0.03,0,500,512,3,0.9855,0.9368,0.0,0.912,2.3,16,1568,0.973,seq_resync
