concurrency,repeat_id,message_count_per_client,payload_size,total_sent,total_accepted,total_rejected,total_timeout,total_error,successful_clients,success_rate_pct,overall_throughput_msg_per_sec,test_elapsed_sec,rtt_mean_ms,rtt_std_ms,rtt_ci95_ms,rtt_min_ms,rtt_max_ms,rtt_median_ms,rtt_n,per_client_rtt_mean_ms,per_client_rtt_std_ms,per_client_rtt_ci95_ms,per_client_tp_mean_msg_per_sec,per_client_tp_std_msg_per_sec,per_client_tp_ci95_msg_per_sec,experiment_id,run_id,git_commit,python_version,os_info,random_seed,command_line,experiment_type
2,16,200,128,400,400,0,0,0,2,100.0,14235.35,0.03,0.125,0.058,0.006,0.055,0.604,0.114,400,0.125,0.002,0.014,7362.63,72.97,655.61,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,17,200,128,400,400,0,0,0,2,100.0,13555.27,0.03,0.132,0.061,0.006,0.05,0.699,0.123,400,0.132,0.001,0.008,6978.32,39.78,357.37,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,18,200,128,400,400,0,0,0,2,100.0,14377.6,0.03,0.125,0.067,0.007,0.075,0.861,0.114,400,0.125,0.001,0.006,7374.13,26.13,234.74,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,19,200,128,400,400,0,0,0,2,100.0,15385.17,0.03,0.116,0.061,0.006,0.044,0.678,0.112,400,0.116,0.001,0.01,7910.96,29.91,268.74,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,20,200,128,400,400,0,0,0,2,100.0,13552.42,0.03,0.132,0.068,0.007,0.075,0.693,0.117,400,0.132,0.0,0.004,6985.27,34.84,313.0,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,21,200,128,400,400,0,0,0,2,100.0,10808.18,0.04,0.168,0.335,0.033,0.076,4.379,0.111,400,0.168,0.001,0.006,5538.72,52.05,467.67,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,22,200,128,400,400,0,0,0,2,100.0,13280.99,0.03,0.135,0.069,0.007,0.076,0.783,0.122,400,0.135,0.001,0.007,6838.98,49.6,445.6,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,23,200,128,400,400,0,0,0,2,100.0,15101.14,0.03,0.117,0.072,0.007,0.045,0.791,0.108,400,0.117,0.001,0.013,7823.21,84.65,760.59,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,24,200,128,400,400,0,0,0,2,100.0,13365.42,0.03,0.134,0.063,0.006,0.078,0.703,0.121,400,0.134,0.0,0.003,6886.8,34.1,306.39,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,25,200,128,400,400,0,0,0,2,100.0,13578.19,0.03,0.133,0.067,0.007,0.07,0.864,0.121,400,0.133,0.001,0.008,6966.01,19.59,176.03,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,26,200,128,400,400,0,0,0,2,100.0,14169.23,0.03,0.126,0.073,0.007,0.056,0.798,0.113,400,0.126,0.001,0.01,7296.12,47.2,424.12,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,27,200,128,400,400,0,0,0,2,100.0,13650.89,0.03,0.132,0.076,0.007,0.05,0.725,0.115,400,0.132,0.001,0.009,7040.17,45.87,412.15,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,28,200,128,400,400,0,0,0,2,100.0,14087.49,0.03,0.127,0.065,0.006,0.076,0.91,0.114,400,0.127,0.001,0.011,7254.01,60.32,541.97,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,29,200,128,400,400,0,0,0,2,100.0,13335.04,0.03,0.135,0.062,0.006,0.055,0.694,0.122,400,0.135,0.001,0.011,6836.01,43.84,393.9,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
2,30,200,128,400,400,0,0,0,2,100.0,14431.14,0.03,0.123,0.062,0.006,0.047,0.721,0.115,400,0.123,0.001,0.007,7426.2,42.07,377.98,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
5,1,200,128,1000,1000,0,0,0,5,100.0,17626.76,0.06,0.261,0.131,0.008,0.073,1.034,0.227,1000,0.261,0.004,0.005,3644.67,48.48,60.19,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
5,2,200,128,1000,1000,0,0,0,5,100.0,17546.97,0.06,0.264,0.134,0.008,0.067,1.23,0.232,1000,0.264,0.003,0.004,3610.76,36.28,45.04,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
5,3,200,128,1000,1000,0,0,0,5,100.0,15093.4,0.07,0.308,0.237,0.015,0.064,2.181,0.229,1000,0.308,0.006,0.007,3113.53,51.85,64.38,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
5,4,200,128,1000,1000,0,0,0,5,100.0,18394.21,0.05,0.249,0.124,0.008,0.064,1.3,0.223,1000,0.249,0.005,0.006,3827.23,67.53,83.85,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
5,5,200,128,1000,1000,0,0,0,5,100.0,18495.2,0.05,0.249,0.123,0.008,0.061,1.047,0.218,1000,0.249,0.003,0.003,3827.76,40.91,50.79,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
5,6,200,128,1000,1000,0,0,0,5,100.0,16221.34,0.06,0.279,0.192,0.012,0.052,1.428,0.211,1000,0.279,0.009,0.011,3422.82,102.44,127.2,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
5,7,200,128,1000,1000,0,0,0,5,100.0,18077.96,0.06,0.25,0.122,0.008,0.073,1.159,0.219,1000,0.25,0.006,0.008,3809.32,89.37,110.96,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
5,8,200,128,1000,1000,0,0,0,5,100.0,18617.19,0.05,0.246,0.121,0.007,0.052,1.226,0.218,1000,0.246,0.003,0.003,3867.21,46.06,57.19,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
5,9,200,128,1000,1000,0,0,0,5,100.0,18362.41,0.05,0.249,0.116,0.007,0.056,1.237,0.221,1000,0.249,0.005,0.007,3819.58,79.11,98.22,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
5,10,200,128,1000,1000,0,0,0,5,100.0,18531.56,0.05,0.244,0.123,0.008,0.051,1.273,0.216,1000,0.244,0.007,0.008,3905.98,103.16,128.09,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
5,11,200,128,1000,1000,0,0,0,5,100.0,18636.55,0.05,0.245,0.129,0.008,0.087,1.418,0.211,1000,0.245,0.006,0.008,3891.19,102.42,127.17,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
5,12,200,128,1000,1000,0,0,0,5,100.0,17711.68,0.06,0.257,0.125,0.008,0.053,1.265,0.225,1000,0.257,0.007,0.008,3704.01,91.17,113.21,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
5,13,200,128,1000,1000,0,0,0,5,100.0,18787.81,0.05,0.243,0.112,0.007,0.058,1.254,0.22,1000,0.243,0.006,0.007,3915.43,95.85,119.01,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
5,14,200,128,1000,1000,0,0,0,5,100.0,18071.73,0.06,0.254,0.132,0.008,0.088,1.456,0.23,1000,0.254,0.004,0.006,3755.64,65.0,80.71,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
5,15,200,128,1000,1000,0,0,0,5,100.0,18602.25,0.05,0.245,0.117,0.007,0.055,1.116,0.216,1000,0.245,0.005,0.007,3883.54,81.8,101.56,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
5,16,200,128,1000,1000,0,0,0,5,100.0,18337.76,0.05,0.246,0.121,0.007,0.067,1.695,0.221,1000,0.246,0.006,0.008,3859.82,97.74,121.36,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
5,17,200,128,1000,1000,0,0,0,5,100.0,18493.49,0.05,0.246,0.131,0.008,0.06,1.375,0.214,1000,0.246,0.004,0.005,3869.12,55.38,68.76,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
5,18,200,128,1000,1000,0,0,0,5,100.0,18818.58,0.05,0.241,0.127,0.008,0.068,1.756,0.213,1000,0.241,0.006,0.007,3949.78,92.08,114.34,exp-1783226150586-5940e606,8d067911842b,74076e1,3.11.15,Darwin 24.6.0,2147483648,run_concurrent_experiment.py,concurrent_clients
