protocol,scenario,server_host,server_port,session_id,attack_type,message_count,payload_size,repeat_id,attack_seq,sent_count,accepted_count,rejected_count,timeout_count,attack_detected,recovery_requested,recovery_success,full_recovery_success,pre_recovery_accepted,post_recovery_accepted,recovery_point_seq,recovery_latency_ms,recovery_extra_messages,recovery_extra_bytes,elapsed_ms,throughput_msg_per_s,final_client_mem,final_server_mem,final_client_mem_short,final_server_mem_short,memory_match_after_recovery,server_last_seq,final_seq_consistent,ticket_verified,ticket_nonce,ticket_expired,ticket_replay_detected,submitted_ticket_present,submitted_ticket_seq,submitted_ticket_nonce,server_ticket_verified,replacement_ticket_verified,response_state_match,detection_reason,recovery_reason,recovery_mode
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r21-1783186931022020,drop,200,128,21,101,201,200,1,0,True,True,True,True,100,100,100,0.2151,2,1975,17.3402,11533.9,6ca7cde73a9c618a7d5e8bb1330313c9b6f3f2609f9fd8735d19f69e582a6939,6ca7cde73a9c618a7d5e8bb1330313c9b6f3f2609f9fd8735d19f69e582a6939,6ca7cde73a9c618a,6ca7cde73a9c618a,True,200,True,True,8d8fa0b8e03a37d95632a1aa407b80a7,False,False,True,100,ea0f5951496e75b857a725514d607a8d,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r22-1783186931039399,drop,200,128,22,101,201,200,1,0,True,True,True,True,100,100,100,0.1969,2,1976,17.118,11683.62,72f6f97d30d05717ad50b8a75845eb43a3e00ec19a56123e6f0222fcc19c7ef2,72f6f97d30d05717ad50b8a75845eb43a3e00ec19a56123e6f0222fcc19c7ef2,72f6f97d30d05717,72f6f97d30d05717,True,200,True,True,50f6dbc6785e63f936d2e85957576e34,False,False,True,100,8de0c44a8384edf78826c583a8a7aae0,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r23-1783186931056573,drop,200,128,23,101,201,200,1,0,True,True,True,True,100,100,100,0.1831,2,1975,17.0078,11759.29,07a46ec4b3b043741694c7da7620f3aac8f53a2981855dc782597e8e67385930,07a46ec4b3b043741694c7da7620f3aac8f53a2981855dc782597e8e67385930,07a46ec4b3b04374,07a46ec4b3b04374,True,200,True,True,3a7b3ee442f8f2e7eaef998709579e45,False,False,True,100,057f5747f617725a689dea74d2d2f1db,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r24-1783186931073622,drop,200,128,24,101,201,200,1,0,True,True,True,True,100,100,100,0.2608,2,1976,18.2281,10972.1,3f6beac8bfe139c94a06d80e33c8cfc7765a53ab1b2dbc213a4a194d2abf339d,3f6beac8bfe139c94a06d80e33c8cfc7765a53ab1b2dbc213a4a194d2abf339d,3f6beac8bfe139c9,3f6beac8bfe139c9,True,200,True,True,53a9aabb4e0ec699aafc0d94cf4a04a3,False,False,True,100,fdd517a1fbba7e3a2d9eb1b486eeb570,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r25-1783186931091906,drop,200,128,25,101,201,200,1,0,True,True,True,True,100,100,100,0.3593,2,1976,16.7332,11952.31,8d3daa3d4875202a2f73e906ad8c68392d732cbace2ac596281e53e01eb3ec99,8d3daa3d4875202a2f73e906ad8c68392d732cbace2ac596281e53e01eb3ec99,8d3daa3d4875202a,8d3daa3d4875202a,True,200,True,True,6cb5eaff699dedebdb52af96a8051912,False,False,True,100,c80ac708fdda3467c360597b2748a64f,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r26-1783186931108687,drop,200,128,26,101,201,200,1,0,True,True,True,True,100,100,100,0.2928,2,1976,17.6411,11337.18,fd7eb03fa022d09b331afbe2d67738d7f21d0de7c0bfa746fec5fe078493c184,fd7eb03fa022d09b331afbe2d67738d7f21d0de7c0bfa746fec5fe078493c184,fd7eb03fa022d09b,fd7eb03fa022d09b,True,200,True,True,29c29f274e75067cc58e26e164d305a2,False,False,True,100,a54cf3ea7a10ee637d5ca94e622e42c1,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r27-1783186931126376,drop,200,128,27,101,201,200,1,0,True,True,True,True,100,100,100,0.2022,2,1976,17.4489,11462.04,608eab41f004966dd1ab1a5ec0a404ff7efb7e68e43d7655d6d9a15c837e640d,608eab41f004966dd1ab1a5ec0a404ff7efb7e68e43d7655d6d9a15c837e640d,608eab41f004966d,608eab41f004966d,True,200,True,True,26262117090d1eab73802cd23a1cdb32,False,False,True,100,00e08310c01909c20e321aacce60a07c,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r28-1783186931143866,drop,200,128,28,101,201,200,1,0,True,True,True,True,100,100,100,0.191,2,1976,17.782,11247.35,19832e0f7f2f45037ce674f4b8f00ceb41aec9edff275edad2af00e03c7b17f7,19832e0f7f2f45037ce674f4b8f00ceb41aec9edff275edad2af00e03c7b17f7,19832e0f7f2f4503,19832e0f7f2f4503,True,200,True,True,6c02198c98c66a2a12703567346bcb5c,False,False,True,100,4eab9294a32b324990c0dd1dabb4249c,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r29-1783186931161690,drop,200,128,29,101,201,200,1,0,True,True,True,True,100,100,100,0.2151,2,1977,17.518,11416.8,9144c68e650cbb0db3b56a45d6ed0281294475f0d7579280101477ca157ab6cb,9144c68e650cbb0db3b56a45d6ed0281294475f0d7579280101477ca157ab6cb,9144c68e650cbb0d,9144c68e650cbb0d,True,200,True,True,7ad906144ccd492e1e65f35670692054,False,False,True,100,5c0399d3d852eb578bb0296011ef8082,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p128-r30-1783186931179248,drop,200,128,30,101,201,200,1,0,True,True,True,True,100,100,100,0.1819,2,1975,17.0569,11725.43,b427c3ac230fe262f3ce93611b580c8d10ecb1764eb47e4746884de9824b2b25,b427c3ac230fe262f3ce93611b580c8d10ecb1764eb47e4746884de9824b2b25,b427c3ac230fe262,b427c3ac230fe262,True,200,True,True,9c53efcb7d506c64a016163e92a9bcbb,False,False,True,100,038c2f4f013f535e3afd2aabb1bb2681,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
